"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"인천광역시 서구 가정2동(2826054300)","3,628","3,628","196","285","639","543","472","885","435","129","35","6","3","3,309","3,309","188","259","519","421","447","812","381","149","105","24","4"
"인천광역시 서구 가정3동(2826054400)","5,233","5,233","292","480","936","700","761","1,171","636","179","71","7","0","5,120","5,120","293","464","821","542","813","1,192","537","275","165","16","2"
"인천광역시 서구 석남1동(2826055000)","11,975","11,975","753","915","1,857","1,807","1,872","2,441","1,567","589","152","20","2","11,174","11,174","671","843","1,618","1,342","1,609","2,443","1,468","747","372","55","6"
"인천광역시 서구 석남2동(2826056000)","7,335","7,335","461","580","1,020","989","1,115","1,534","1,048","458","118","12","0","6,708","6,708","421","483","872","817","943","1,401","1,002","491","240","35","3"
"인천광역시 서구 석남3동(2826056100)","7,963","7,963","413","783","1,324","1,038","1,260","1,680","951","393","115","6","0","7,740","7,740","340","808","1,154","753","1,236","1,685","919","540","265","39","1"
"인천광역시 서구 신현원창동(2826057500)","16,745","16,745","1,549","1,653","2,519","2,518","2,622","3,187","1,857","673","157","9","1","16,644","16,644","1,470","1,685","2,337","2,397","2,685","3,187","1,704","726","380","68","5"
"인천광역시 서구 가좌1동(2826058000)","6,378","6,378","344","496","945","861","1,125","1,341","809","351","92","13","1","5,533","5,533","273","482","760","593","863","1,169","728","456","181","27","1"
"인천광역시 서구 가좌2동(2826059000)","10,357","10,357","836","1,128","1,681","1,437","1,489","1,994","1,221","421","133","17","0","10,911","10,911","804","1,101","1,602","1,384","1,722","2,175","1,204","540","325","54","0"
"인천광역시 서구 가좌3동(2826060000)","8,654","8,654","413","784","1,329","1,134","1,281","1,780","1,223","547","147","16","0","8,384","8,384","452","689","1,121","891","1,242","1,779","1,230","608","318","49","5"
"인천광역시 서구 가좌4동(2826061000)","6,377","6,377","433","514","923","1,045","935","1,263","866","285","98","13","2","6,086","6,086","437","437","906","949","854","1,204","717","357","192","30","3"
"인천광역시 서구 검단동(2826068000)","17,000","17,000","1,634","1,889","2,431","2,773","3,127","2,889","1,454","607","176","17","3","15,877","15,877","1,533","1,794","2,162","2,337","2,908","2,562","1,378","745","384","66","8"
"인천광역시 서구 불로대곡동(2826069000)","11,660","11,660","1,143","1,556","1,516","1,475","2,356","1,955","901","556","187","14","1","11,430","11,430","1,117","1,451","1,346","1,441","2,378","1,660","1,011","701","295","26","4"
"인천광역시 서구 원당동(2826070000)","12,582","12,582","1,549","1,889","1,306","1,928","2,954","1,671","749","403","120","12","1","12,307","12,307","1,456","1,729","1,257","2,061","2,810","1,350","893","475","232","42","2"
"인천광역시 서구 당하동(2826071000)","25,699","25,699","3,055","3,410","3,453","4,078","5,070","3,920","1,668","775","245","24","1","26,314","26,314","2,899","3,379","3,471","4,344","5,140","3,719","1,823","954","490","93","2"
"인천광역시 서구 오류왕길동(2826072000)","12,626","12,626","1,345","1,455","1,672","1,786","2,287","2,226","1,195","496","153","11","0","12,078","12,078","1,266","1,330","1,485","1,777","2,171","2,001","1,088","555","331","72","2"
"인천광역시 강화군 (2871000000)","34,549","34,549","1,747","2,505","3,340","2,921","4,459","6,436","6,391","4,569","1,974","194","13","34,348","34,348","1,626","2,386","2,465","2,581","3,683","6,214","6,424","5,288","3,121","534","26"
"인천광역시 강화군 강화읍(2871025000)","11,275","11,275","763","1,165","1,375","1,167","1,737","1,928","1,606","1,062","426","40","6","11,557","11,557","733","1,139","1,054","1,087","1,631","1,931","1,732","1,394","734","115","7"
"인천광역시 강화군 선원면(2871031000)","3,867","3,867","288","367","409","357","558","740","583","381","165","19","0","3,906","3,906","275","356","318","374","512","722","593","425","276","54","1"
"인천광역시 강화군 불은면(2871032000)","2,445","2,445","83","113","202","182","273","450","565","384","176","17","0","2,352","2,352","94","97","128","156","197","465","524","366","268","54","3"
"인천광역시 강화군 길상면(2871033000)","3,463","3,463","169","203","328","320","417","713","699","450","149","13","2","3,368","3,368","131","208","243","277","349","713","691","440","269","44","3"
"인천광역시 강화군 화도면(2871034000)","2,268","2,268","79","118","180","175","233","425","532","365","143","18","0","2,216","2,216","97","81","139","131","168","419","518","387","224","49","3"
"인천광역시 강화군 양도면(2871035000)","2,071","2,071","86","121","171","131","260","394","422","307","160","17","2","1,993","1,993","63","107","112","110","180","353","425","377","229","36","1"
"인천광역시 강화군 내가면(2871036000)","1,530","1,530","36","69","118","101","176","280","360","267","108","13","2","1,573","1,573","26","73","86","78","136","309","362","314","163","26","0"
"인천광역시 강화군 하점면(2871037000)","2,081","2,081","59","85","162","126","221","385","444","397","190","12","0","1,998","1,998","60","82","99","107","146","344","415","447","253","42","3"
"인천광역시 강화군 양사면(2871038000)","939","939","27","36","62","53","89","196","212","171","85","8","0","949","949","24","46","50","41","67","167","195","212","123","23","1"
"인천광역시 강화군 송해면(2871039000)","1,562","1,562","59","75","112","122","195","291","311","267","118","11","1","1,578","1,578","57","79","92","83","122","270","332","306","213","22","2"
"인천광역시 강화군 교동면(2871040000)","1,521","1,521","50","65","126","92","143","308","315","278","130","14","0","1,436","1,436","35","69","70","73","74","255","310","338","176","34","2"
"인천광역시 강화군 삼산면(2871041000)","1,182","1,182","39","78","77","82","127","238","266","179","88","8","0","1,098","1,098","26","39","61","52","83","205","240","218","146","28","0"
"인천광역시 강화군 서도면(2871042000)","197","197","4","6","12","10","21","47","45","31","20","1","0","194","194","2","8","8","8","10","36","54","32","32","4","0"
"인천광역시 강화군 서도면볼음출장소(2871042500)","148","148","5","4","6","3","9","41","31","30","16","3","0","130","130","3","2","5","4","8","25","33","32","15","3","0"
"인천광역시 옹진군 (2872000000)","11,951","11,951","576","649","2,084","1,381","1,668","2,217","1,924","1,038","365","47","2","9,130","9,130","567","588","767","852","903","1,710","1,683","1,163","714","177","6"
"인천광역시 옹진군 북도면(2872031000)","635","635","25","31","46","51","68","148","156","74","33","2","1","544","544","16","29","38","39","49","105","127","73","55","13","0"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","555","555","18","21","45","49","88","127","123","65","15","4","0","492","492","21","17","30","28","52","89","120","70","47","18","0"
"인천광역시 옹진군 백령면(2872033000)","3,247","3,247","198","150","906","445","450","461","372","176","77","12","0","2,268","2,268","215","190","213","291","221","363","333","224","171","45","2"
"인천광역시 옹진군 대청면(2872034000)","755","755","34","36","156","85","99","142","113","66","22","2","0","550","550","36","36","53","52","39","117","91","88","34","4","0"
"인천광역시 옹진군 대청면소청출장소(2872034500)","149","149","0","10","33","14","17","21","30","21","3","0","0","86","86","2","3","3","1","3","14","23","28","8","1","0"
"인천광역시 옹진군 덕적면(2872035000)","1,069","1,069","29","49","83","62","145","247","245","141","60","8","0","906","906","33","49","52","42","75","150","196","168","111","29","1"
"인천광역시 옹진군 영흥면(2872036000)","3,514","3,514","200","236","383","438","503","700","615","341","87","10","1","2,855","2,855","166","181","230","280","327","609","523","337","163","36","3"
"인천광역시 옹진군 자월면(2872037000)","664","664","22","30","62","37","88","160","135","88","40","2","0","633","633","17","24","55","33","48","121","142","102","74","17","0"
"인천광역시 옹진군 연평면(2872038000)","1,363","1,363","50","86","370","200","210","211","135","66","28","7","0","796","796","61","59","93","86","89","142","128","73","51","14","0"
"광주광역시  (2900000000)","722,902","722,902","67,253","88,949","107,861","100,823","122,551","114,706","69,342","38,427","11,960","990","40","736,930","736,930","63,298","82,373","98,261","98,830","124,119","117,289","76,419","48,883","23,280","3,846","332"
"광주광역시 동구 (2911000000)","46,889","46,889","3,142","3,806","6,769","6,277","6,873","7,482","6,360","4,368","1,656","148","8","47,524","47,524","2,894","3,550","6,260","5,567","6,257","7,544","7,179","5,417","2,398","411","47"
"광주광역시 동구 충장동(2911052500)","2,403","2,403","55","78","353","359","339","438","441","246","88","6","0","2,128","2,128","47","91","447","263","230","324","373","219","108","22","4"
"광주광역시 동구 동명동(2911054500)","2,021","2,021","65","144","345","235","302","303","280","223","118","6","0","2,041","2,041","63","120","322","189","280","260","332","303","140","29","3"
"광주광역시 동구 계림1동(2911056000)","3,335","3,335","109","193","431","436","529","645","530","338","112","12","0","2,907","2,907","106","154","378","312","347","500","516","386","176","29","3"
"광주광역시 동구 계림2동(2911057000)","4,335","4,335","402","456","602","545","678","629","490","376","142","14","1","4,406","4,406","361","415","450","533","685","621","625","505","185","23","3"
"광주광역시 동구 산수1동(2911059000)","3,407","3,407","148","279","485","420","521","632","446","344","125","6","1","3,350","3,350","149","232","437","332","417","563","530","457","193","33","7"
"광주광역시 동구 산수2동(2911060000)","5,304","5,304","332","482","809","597","748","850","748","525","200","13","0","5,536","5,536","309","465","729","581","736","969","822","625","262","36","2"
"광주광역시 동구 지산1동(2911062000)","2,302","2,302","153","197","416","285","373","329","278","203","62","3","3","2,312","2,312","121","195","363","256","322","341","337","243","110","21","3"
"광주광역시 동구 지산2동(2911063000)","2,558","2,558","161","261","486","281","375","385","272","243","87","7","0","2,445","2,445","107","213","365","225","358","412","333","277","135","19","1"
"광주광역시 동구 서남동(2911065500)","1,670","1,670","45","73","342","246","242","267","229","145","74","7","0","1,592","1,592","49","86","337","179","171","227","244","199","86","14","0"
"광주광역시 동구 학동(2911068500)","4,663","4,663","455","316","631","769","674","758","568","363","118","10","1","5,013","5,013","393","347","675","760","648","736","696","512","207","31","8"
"광주광역시 동구 학운동(2911071000)","6,024","6,024","390","565","796","681","822","901","890","638","302","38","1","6,630","6,630","401","521","772","631","873","1,073","1,081","824","388","63","3"
"광주광역시 동구 지원1동(2911073000)","3,964","3,964","301","375","531","566","556","639","547","337","102","10","0","4,153","4,153","272","382","488","482","545","735","638","397","177","36","1"
"광주광역시 동구 지원2동(2911074000)","4,903","4,903","526","387","542","857","714","706","641","387","126","16","1","5,011","5,011","516","329","497","824","645","783","652","470","231","55","9"
"광주광역시 서구 (2914000000)","149,532","149,532","12,763","18,851","23,448","20,180","25,187","24,048","14,507","7,927","2,417","197","7","154,665","154,665","11,881","17,033","21,782","20,398","26,784","25,187","16,129","9,946","4,652","812","61"
"광주광역시 서구 양동(2914057500)","2,128","2,128","59","104","262","235","312","391","346","318","91","9","1","2,164","2,164","51","97","208","189","208","375","422","411","175","22","6"
"광주광역시 서구 양3동(2914059000)","2,446","2,446","236","197","309","368","420","334","338","195","43","6","0","2,478","2,478","207","167","247","349","333","407","393","265","96","14","0"
"광주광역시 서구 농성1동(2914065000)","4,489","4,489","196","330","638","601","738","715","629","483","148","10","1","4,551","4,551","208","277","661","550","607","666","754","567","225","34","2"
"광주광역시 서구 농성2동(2914066000)","2,747","2,747","122","208","455","397","396","485","342","248","91","3","0","2,606","2,606","99","155","430","300","327","500","399","268","109","19","0"
"광주광역시 서구 광천동(2914073000)","4,568","4,568","324","352","609","591","776","857","577","376","85","18","3","4,381","4,381","276","336","564","515","634","814","623","376","197","39","7"
"광주광역시 서구 유덕동(2914074000)","5,723","5,723","596","769","922","864","998","909","386","188","87","4","0","5,486","5,486","507","692","790","808","1,019","785","410","303","142","30","0"
"광주광역시 서구 치평동(2914074500)","15,143","15,143","1,286","1,928","2,650","2,306","2,408","2,611","1,110","595","232","16","1","16,144","16,144","1,220","1,779","2,706","2,384","2,937","2,590","1,186","877","414","50","1"
"광주광역시 서구 상무1동(2914075100)","12,259","12,259","855","1,343","2,298","1,937","2,006","1,945","1,111","594","161","9","0","12,430","12,430","890","1,388","2,169","1,757","2,047","1,958","1,220","664","277","56","4"
"광주광역시 서구 상무2동(2914075200)","12,327","12,327","735","1,090","2,190","1,731","1,886","2,092","1,512","843","230","17","1","12,836","12,836","681","1,055","2,121","1,533","1,849","2,195","1,651","1,156","498","87","10"
"광주광역시 서구 화정1동(2914076000)","7,688","7,688","551","684","1,301","1,276","1,271","1,082","784","533","191","15","0","8,268","8,268","515","620","1,526","1,274","1,111","1,249","966","638","313","53","3"
"광주광역시 서구 화정2동(2914077000)","10,880","10,880","1,362","1,423","1,473","1,659","1,747","1,527","1,069","490","121","9","0","10,815","10,815","1,172","1,047","1,256","1,819","1,772","1,740","1,179","538","237","52","3"
"광주광역시 서구 화정3동(2914078000)","5,395","5,395","362","677","903","638","764","871","701","362","104","13","0","5,558","5,558","309","554","725","622","830","1,053","775","430","211","43","6"
"광주광역시 서구 화정4동(2914079000)","7,939","7,939","586","1,020","1,303","959","1,059","1,271","1,118","479","132","12","0","8,335","8,335","521","821","1,030","942","1,296","1,686","1,185","521","275","53","5"
"광주광역시 서구 서창동(2914080000)","2,822","2,822","157","242","391","297","383","629","421","229","67","6","0","2,571","2,571","173","175","285","269","305","501","388","242","188","41","4"
"광주광역시 서구 금호1동(2914082100)","10,513","10,513","822","1,357","1,768","1,181","1,541","1,913","1,198","559","162","12","0","11,372","11,372","732","1,186","1,565","1,229","1,868","2,258","1,323","741","412","54","4"
"광주광역시 서구 금호2동(2914082400)","14,828","14,828","1,606","2,562","2,151","1,701","2,867","2,384","929","465","151","12","0","15,500","15,500","1,446","2,440","1,966","1,970","3,388","2,324","1,024","622","262","55","3"
"광주광역시 서구 풍암동(2914083000)","19,375","19,375","1,911","3,196","2,778","2,447","3,883","2,856","1,330","696","255","23","0","20,122","20,122","1,860","2,948","2,630","2,636","4,397","2,781","1,416","935","443","74","2"
"광주광역시 서구 동천동(2914084000)","8,262","8,262","997","1,369","1,047","992","1,732","1,176","606","274","66","3","0","9,048","9,048","1,014","1,296","903","1,252","1,856","1,305","815","392","178","36","1"
"광주광역시 남구 (2915500000)","104,477","104,477","9,246","12,286","14,847","13,498","16,733","16,144","12,008","7,279","2,231","195","10","112,178","112,178","8,785","12,019","13,940","13,876","17,401","18,157","14,016","8,985","4,200","721","78"
"광주광역시 남구 양림동(2915551000)","3,621","3,621","340","377","463","423","578","514","440","351","117","16","2","4,166","4,166","306","404","431","462","592","654","617","451","219","22","8"
"광주광역시 남구 방림1동(2915552000)","3,567","3,567","337","367","486","501","577","520","401","290","80","6","2","3,897","3,897","317","380","448","529","583","593","534","351","135","22","5"
"광주광역시 남구 방림2동(2915553000)","4,623","4,623","310","445","678","570","678","743","617","433","136","13","0","5,107","5,107","279","453","639","546","694","856","791","549","245","48","7"
"광주광역시 남구 봉선1동(2915553700)","7,472","7,472","560","832","1,198","935","1,238","1,161","858","483","186","20","1","8,312","8,312","546","805","1,085","990","1,299","1,407","1,032","694","381","69","4"
"광주광역시 남구 봉선2동(2915553800)","14,233","14,233","1,568","2,658","1,856","1,424","2,560","2,089","1,241","592","218","27","0","15,945","15,945","1,525","2,533","1,847","1,811","3,120","2,406","1,399","810","417","74","3"
"광주광역시 남구 사직동(2915554500)","2,981","2,981","174","186","387","416","475","517","402","321","97","4","2","2,893","2,893","171","164","347","350","343","471","464","394","157","21","11"
"광주광역시 남구 월산동(2915560500)","4,418","4,418","225","293","596","537","697","784","627","511","137","11","0","4,244","4,244","206","262","473","470","494","677","724","614","275","43","6"
"광주광역시 남구 월산4동(2915563000)","4,802","4,802","246","400","680","669","722","861","681","437","97","9","0","4,590","4,590","217","359","582","529","584","887","730","468","197","35","2"
"광주광역시 남구 월산5동(2915564000)","3,502","3,502","156","238","560","484","503","638","526","328","62","6","1","3,502","3,502","146","211","485","378","429","700","605","366","155","24","3"
"광주광역시 남구 백운1동(2915567000)","6,328","6,328","625","638","854","916","979","914","777","451","158","16","0","7,019","7,019","629","646","795","979","1,029","1,123","958","552","257","50","1"
"광주광역시 남구 백운2동(2915568000)","3,185","3,185","223","237","450","511","493","512","382","289","82","4","2","3,188","3,188","207","235","500","431","388","517","444","321","130","9","6"
"광주광역시 남구 주월1동(2915569000)","9,824","9,824","795","1,179","1,474","1,334","1,525","1,606","1,135","616","149","11","0","10,319","10,319","749","1,113","1,420","1,275","1,663","1,793","1,256","723","273","50","4"
"광주광역시 남구 주월2동(2915570000)","4,468","4,468","313","393","682","569","655","735","635","382","95","9","0","4,521","4,521","314","354","577","509","615","875","675","420","154","23","5"
"광주광역시 남구 효덕동(2915571000)","22,936","22,936","2,396","3,250","3,428","2,909","3,766","3,263","2,249","1,242","404","29","0","25,522","25,522","2,262","3,366","3,458","3,316","4,311","3,849","2,627","1,490","705","129","9"
"광주광역시 남구 송암동(2915572000)","5,603","5,603","797","610","721","1,001","871","764","523","238","74","4","0","5,933","5,933","735","540","626","1,064","921","874","646","303","178","44","2"
"광주광역시 남구 대촌동(2915573000)","2,914","2,914","181","183","334","299","416","523","514","315","139","10","0","3,020","3,020","176","194","227","237","336","475","514","479","322","58","2"
"광주광역시 북구 (2917000000)","218,349","218,349","19,059","25,110","33,400","31,218","34,816","35,948","22,758","12,114","3,632","283","11","221,546","221,546","17,959","22,641","30,114","29,325","35,230","37,994","24,773","15,209","7,085","1,126","90"
"광주광역시 북구 중흥1동(2917051000)","2,255","2,255","100","131","311","414","349","385","315","183","60","6","1","1,957","1,957","106","101","292","312","219","342","268","213","90","10","4"
"광주광역시 북구 중흥2동(2917052000)","3,674","3,674","183","278","669","505","520","546","482","350","128","12","1","3,606","3,606","174","265","651","395","445","545","544","398","156","31","2"
"광주광역시 북구 중흥3동(2917053000)","2,631","2,631","139","186","475","423","418","406","307","209","65","3","0","2,309","2,309","129","152","368","277","294","360","365","260","91","8","5"
"광주광역시 북구 중앙동(2917055500)","1,937","1,937","51","87","262","292","283","367","332","185","71","7","0","1,670","1,670","44","71","274","182","181","293","285","205","113","20","2"
"광주광역시 북구 임동(2917057000)","4,409","4,409","389","323","532","736","682","655","579","418","87","8","0","4,473","4,473","353","315","498","702","591","715","681","429","154","30","5"
"광주광역시 북구 신안동(2917058000)","5,676","5,676","210","359","991","924","866","997","710","471","143","5","0","5,168","5,168","206","344","967","627","599","872","759","532","220","37","5"
"광주광역시 북구 용봉동(2917059000)","19,349","19,349","1,487","2,256","3,627","2,622","2,902","3,283","1,871","999","279","23","0","19,646","19,646","1,412","1,998","3,293","2,424","3,090","3,599","2,084","1,182","489","70","5"
"광주광역시 북구 운암1동(2917060100)","9,874","9,874","1,034","1,201","1,470","1,307","1,461","1,557","1,166","526","142","10","0","10,679","10,679","986","1,249","1,400","1,472","1,722","1,762","1,238","568","221","57","4"
"광주광역시 북구 운암2동(2917060200)","6,633","6,633","354","577","1,025","873","956","1,221","889","557","173","8","0","6,502","6,502","352","554","911","720","856","1,209","1,014","609","232","42","3"
"광주광역시 북구 운암3동(2917060300)","7,860","7,860","583","959","1,377","1,038","1,039","1,394","953","385","124","7","1","8,315","8,315","548","853","1,182","985","1,265","1,680","1,001","485","261","52","3"
"광주광역시 북구 동림동(2917061500)","11,400","11,400","1,243","1,338","1,623","1,917","1,872","1,694","1,033","532","133","13","2","11,688","11,688","1,136","1,181","1,433","1,880","1,842","2,003","1,243","634","282","53","1"
"광주광역시 북구 우산동(2917062000)","5,652","5,652","231","453","778","648","824","1,032","927","578","170","8","3","5,905","5,905","231","389","720","527","667","1,082","1,112","781","329","59","8"
"광주광역시 북구 풍향동(2917063500)","3,201","3,201","306","272","429","515","532","509","352","221","62","3","0","3,203","3,203","276","282","378","474","456","495","396","301","115","28","2"
"광주광역시 북구 문화동(2917065000)","9,559","9,559","765","903","1,351","1,518","1,406","1,616","1,130","658","195","16","1","9,801","9,801","736","773","1,211","1,336","1,319","1,772","1,366","826","394","61","7"
"광주광역시 북구 문흥1동(2917065600)","8,409","8,409","640","1,117","1,419","904","1,245","1,583","897","449","143","12","0","8,838","8,838","648","1,056","1,253","959","1,424","1,752","936","509","268","32","1"
"광주광역시 북구 문흥2동(2917065700)","8,088","8,088","695","954","1,335","1,178","1,263","1,238","833","428","151","13","0","8,908","8,908","720","877","1,227","1,191","1,374","1,512","1,004","668","290","44","1"
"광주광역시 북구 두암1동(2917066100)","4,186","4,186","220","402","621","482","639","682","590","412","125","12","1","4,233","4,233","198","359","585","434","575","767","676","433","176","27","3"
"광주광역시 북구 두암2동(2917066200)","8,637","8,637","562","855","1,343","1,147","1,238","1,549","1,116","643","170","14","0","8,800","8,800","565","799","1,222","994","1,170","1,732","1,257","694","311","52","4"
"광주광역시 북구 두암3동(2917066300)","7,142","7,142","320","601","987","847","1,018","1,404","1,179","590","180","16","0","7,747","7,747","304","545","929","698","935","1,531","1,322","921","506","54","2"
"광주광역시 북구 삼각동(2917066600)","7,574","7,574","631","1,097","1,296","955","1,244","1,358","625","280","79","9","0","7,174","7,174","553","828","1,070","897","1,351","1,305","623","358","153","36","0"
"광주광역시 북구 일곡동(2917066900)","15,738","15,738","1,453","2,939","2,605","1,578","2,863","2,715","930","443","190","22","0","16,261","16,261","1,325","2,480","2,279","1,778","3,692","2,600","944","724","391","48","0"
"광주광역시 북구 매곡동(2917067300)","7,292","7,292","695","1,073","1,160","993","1,135","1,159","647","319","105","6","0","7,515","7,515","695","856","963","972","1,376","1,320","651","406","241","32","3"
"광주광역시 북구 오치1동(2917067600)","6,128","6,128","404","674","1,026","760","970","1,192","684","337","77","4","0","6,072","6,072","419","602","938","698","939","1,197","669","391","185","29","5"
"광주광역시 북구 오치2동(2917067700)","6,515","6,515","325","556","1,092","891","870","1,268","949","442","115","7","0","6,805","6,805","315","478","965","739","891","1,464","926","629","351","46","1"
"광주광역시 북구 석곡동(2917068500)","1,436","1,436","51","92","164","139","174","319","276","152","63","6","0","1,313","1,313","42","62","129","89","112","261","247","216","127","25","3"
"광주광역시 북구 건국동(2917069500)","24,930","24,930","3,957","3,190","2,837","4,612","4,837","3,128","1,503","658","192","15","1","24,893","24,893","3,624","2,989","2,606","4,766","4,695","3,081","1,615","914","517","78","8"
"광주광역시 북구 양산동(2917069600)","18,164","18,164","2,031","2,237","2,595","3,000","3,210","2,691","1,483","689","210","18","0","18,065","18,065","1,862","2,183","2,370","2,797","3,150","2,743","1,547","923","422","65","3"
"광주광역시 광산구 (2920000000)","203,655","203,655","23,043","28,896","29,397","29,650","38,942","31,084","13,709","6,739","2,024","167","4","201,017","201,017","21,779","27,130","26,165","29,664","38,447","28,407","14,322","9,326","4,945","776","56"
"광주광역시 광산구 송정1동(2920051500)","5,639","5,639","439","691","895","685","1,024","918","536","336","106","9","0","5,513","5,513","392","611","761","612","967","829","668","453","188","30","2"
"광주광역시 광산구 송정2동(2920052500)","3,426","3,426","188","251","531","557","503","554","436","308","91","7","0","3,426","3,426","184","239","476","391","437","570","520","408","170","25","6"
"광주광역시 광산구 도산동(2920054000)","7,552","7,552","781","979","1,090","1,105","1,377","1,124","587","389","112","8","0","7,543","7,543","726","859","949","1,086","1,308","1,099","699","524","244","42","7"
"광주광역시 광산구 신흥동(2920055000)","2,520","2,520","210","238","360","368","411","405","277","202","46","3","0","2,490","2,490","205","211","308","322","342","418","337","216","101","27","3"
"광주광역시 광산구 어룡동(2920056500)","17,026","17,026","2,300","1,906","2,158","3,272","3,163","2,222","1,274","562","158","11","0","16,330","16,330","2,117","1,866","1,915","2,952","2,707","2,264","1,313","739","384","68","5"
"광주광역시 광산구 우산동(2920058000)","12,247","12,247","1,041","1,146","1,901","1,928","1,980","2,282","1,234","553","175","7","0","11,944","11,944","994","1,066","1,635","1,615","1,805","2,106","1,256","852","516","96","3"
"광주광역시 광산구 월곡1동(2920060000)","6,255","6,255","440","776","1,104","818","944","1,203","658","239","69","4","0","6,015","6,015","417","682","947","678","1,017","1,200","588","281","182","23","0"
"광주광역시 광산구 월곡2동(2920061000)","8,926","8,926","809","1,264","1,355","1,091","1,671","1,604","717","322","83","10","0","8,550","8,550","701","1,184","1,211","1,035","1,655","1,456","721","380","181","24","2"
"광주광역시 광산구 비아동(2920062000)","3,836","3,836","358","464","506","525","775","729","287","148","43","1","0","3,406","3,406","357","391","386","471","640","517","284","219","132","9","0"
"광주광역시 광산구 첨단1동(2920062400)","12,153","12,153","858","1,907","2,420","1,289","1,912","2,471","848","323","119","6","0","12,212","12,212","855","1,824","2,111","1,335","2,310","2,364","730","404","231","46","2"
"광주광역시 광산구 첨단2동(2920062600)","20,945","20,945","2,003","3,232","3,831","2,776","3,907","3,491","1,092","449","152","11","1","20,786","20,786","1,950","2,976","3,322","2,785","4,367","3,202","1,035","706","387","54","2"
"광주광역시 광산구 신가동(2920063000)","11,597","11,597","1,357","1,810","1,649","1,582","2,406","1,707","677","323","79","7","0","11,127","11,127","1,253","1,724","1,352","1,608","2,339","1,411","743","459","210","25","3"
"광주광역시 광산구 운남동(2920063500)","15,814","15,814","1,829","2,312","2,381","2,268","2,930","2,630","882","440","126","15","1","16,444","16,444","1,738","2,170","2,331","2,418","3,196","2,489","1,018","712","322","48","2"
"광주광역시 광산구 수완동(2920063700)","39,319","39,319","6,254","6,865","4,610","5,895","8,887","4,533","1,501","612","151","11","0","40,288","40,288","5,933","6,748","4,282","6,949","8,944","4,190","1,802","951","411","73","5"
"광주광역시 광산구 하남동(2920064000)","11,910","11,910","1,846","1,610","1,420","2,023","2,419","1,504","779","242","59","8","0","11,535","11,535","1,746","1,486","1,311","2,185","2,092","1,497","689","338","159","29","3"
"광주광역시 광산구 임곡동(2920065000)","1,134","1,134","27","74","108","69","130","253","221","173","71","8","0","1,030","1,030","25","49","75","54","61","164","203","200","173","24","2"
"광주광역시 광산구 동곡동(2920066000)","1,020","1,020","28","49","110","111","116","223","172","165","42","3","1","948","948","23","48","71","57","80","146","193","200","115","13","2"
"광주광역시 광산구 평동(2920067000)","2,253","2,253","74","98","267","299","346","436","384","256","79","14","0","1,826","1,826","57","87","183","156","156","281","345","320","200","39","2"
"광주광역시 광산구 삼도동(2920068000)","1,198","1,198","38","74","105","103","149","267","233","149","73","6","1","1,156","1,156","37","54","65","63","95","169","214","234","194","30","1"
"광주광역시 광산구 본량동(2920069000)","1,055","1,055","22","55","87","82","169","194","175","167","95","9","0","1,057","1,057","26","39","71","62","87","142","160","247","201","19","3"
"광주광역시 광산구 신창동(2920070000)","17,830","17,830","2,141","3,095","2,509","2,804","3,723","2,334","739","381","95","9","0","17,391","17,391","2,043","2,816","2,403","2,830","3,842","1,893","804","483","244","32","1"
"대전광역시  (3000000000)","743,851","743,851","65,729","83,008","112,922","106,829","124,318","120,844","78,194","38,110","12,623","1,200","74","744,874","744,874","61,985","76,840","100,905","101,244","124,838","122,643","81,710","46,936","23,709","3,810","254"
"대전광역시 동구 (3011000000)","115,733","115,733","8,903","11,285","16,547","15,375","18,906","19,320","14,396","8,100","2,641","238","22","113,318","113,318","8,332","10,444","14,206","13,656","16,913","18,869","15,343","9,992","4,777","722","64"
"대전광역시 동구 중앙동(3011051500)","3,015","3,015","64","103","247","276","412","757","620","392","124","15","5","2,336","2,336","57","78","168","176","218","419","554","426","201","36","3"
"대전광역시 동구 효동(3011053000)","13,458","13,458","1,559","1,872","1,430","1,849","2,614","1,850","1,332","741","199","11","1","14,018","14,018","1,584","1,707","1,337","2,018","2,533","1,968","1,498","893","407","69","4"
"대전광역시 동구 신인동(3011054500)","6,220","6,220","510","512","785","963","994","968","783","504","175","22","4","6,237","6,237","491","460","703","839","905","1,028","923","604","226","48","10"
"대전광역시 동구 판암1동(3011055100)","6,099","6,099","477","570","808","856","891","1,092","791","428","167","18","1","6,377","6,377","427","532","742","776","903","1,161","858","608","325","43","2"
