"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"경기도 광명시 광명5동(4121056000)","7,451","7,451","545","778","1,037","1,090","1,275","1,233","900","461","125","6","1","7,548","7,548","521","678","857","987","1,256","1,322","1,027","587","277","31","5"
"경기도 광명시 광명6동(4121057000)","6,363","6,363","556","667","834","878","1,108","1,074","770","369","93","13","1","6,527","6,527","566","639","792","874","1,094","1,093","806","418","206","33","6"
"경기도 광명시 광명7동(4121058000)","9,300","9,300","578","946","1,419","1,295","1,441","1,642","1,242","570","153","13","1","9,205","9,205","584","899","1,207","1,146","1,408","1,737","1,263","625","284","45","7"
"경기도 광명시 철산1동(4121059000)","6,617","6,617","661","852","918","954","1,243","1,084","579","248","66","12","0","6,791","6,791","636","804","850","987","1,366","1,047","608","320","136","36","1"
"경기도 광명시 철산2동(4121060000)","7,672","7,672","364","664","1,283","1,178","1,183","1,584","926","360","114","15","1","7,325","7,325","347","588","1,165","984","1,166","1,426","934","452","227","32","4"
"경기도 광명시 철산3동(4121061000)","16,568","16,568","1,739","2,268","2,235","2,029","3,111","2,685","1,610","651","218","19","3","17,216","17,216","1,642","2,187","2,098","2,327","3,364","2,789","1,575","758","398","73","5"
"경기도 광명시 철산4동(4121062000)","6,997","6,997","642","699","925","1,295","1,243","1,092","695","322","79","5","0","6,972","6,972","602","637","843","1,254","1,210","1,090","761","384","165","24","2"
"경기도 광명시 하안1동(4121063100)","13,483","13,483","1,441","1,717","1,725","1,669","2,663","2,236","1,336","539","140","16","1","13,411","13,411","1,402","1,621","1,438","1,866","2,616","2,152","1,286","619","341","64","6"
"경기도 광명시 하안2동(4121063200)","7,127","7,127","671","703","840","1,555","1,328","980","613","300","118","16","3","7,810","7,810","640","694","889","1,461","1,385","1,093","792","479","328","42","7"
"경기도 광명시 하안3동(4121063300)","10,334","10,334","991","1,138","1,243","1,709","1,881","1,599","1,047","516","187","23","0","11,362","11,362","889","1,091","1,263","1,704","2,007","1,670","1,318","848","504","60","8"
"경기도 광명시 하안4동(4121063400)","6,462","6,462","661","938","820","1,092","1,294","933","469","186","62","7","0","6,857","6,857","603","857","830","1,113","1,457","981","517","308","165","25","1"
"경기도 광명시 소하1동(4121064000)","15,946","15,946","1,732","2,292","1,929","2,052","3,154","2,355","1,575","672","163","18","4","16,471","16,471","1,658","2,139","1,779","2,335","3,229","2,424","1,673","752","394","72","16"
"경기도 광명시 소하2동(4121065000)","22,710","22,710","2,337","2,412","3,220","3,943","3,997","3,497","2,077","957","240","24","6","22,163","22,163","2,169","2,289","2,864","3,725","3,750","3,464","2,169","1,135","509","81","8"
"경기도 광명시 학온동(4121066000)","1,315","1,315","51","70","131","149","156","270","274","141","68","3","2","1,037","1,037","40","45","90","110","101","207","204","133","85","17","5"
"경기도 평택시 (4122000000)","254,764","254,764","24,356","27,384","36,185","39,957","46,251","41,750","22,491","11,658","4,223","442","67","241,560","241,560","23,119","25,689","30,162","34,897","41,711","38,153","23,218","15,228","8,011","1,225","147"
"경기도 평택시 팽성읍(4122025000)","14,339","14,339","871","963","1,783","1,810","2,360","2,858","1,966","1,149","516","49","14","13,765","13,765","801","881","1,339","1,393","1,851","2,572","2,253","1,628","880","139","28"
"경기도 평택시 안중읍(4122025300)","22,505","22,505","2,332","3,182","2,959","3,368","4,552","3,449","1,560","784","286","30","3","21,657","21,657","2,377","3,108","2,527","3,012","4,397","2,902","1,595","1,053","578","99","9"
"경기도 평택시 포승읍(4122025600)","14,593","14,593","1,254","1,148","1,957","2,815","3,058","2,319","1,233","577","213","19","0","10,293","10,293","1,174","999","1,158","1,594","1,746","1,472","1,025","651","415","53","6"
"경기도 평택시 청북읍(4122025900)","13,438","13,438","2,330","1,382","1,169","2,753","2,666","1,490","936","524","163","24","1","12,113","12,113","2,137","1,313","966","2,651","1,940","1,259","917","511","342","73","4"
"경기도 평택시 진위면(4122031000)","6,453","6,453","332","491","995","953","1,049","1,180","812","479","149","12","1","5,468","5,468","320","435","696","616","789","969","791","515","290","42","5"
"경기도 평택시 서탄면(4122032000)","2,067","2,067","73","134","218","253","306","432","362","195","90","4","0","1,721","1,721","72","103","169","162","177","326","308","233","155","15","1"
"경기도 평택시 고덕면(4122033000)","5,399","5,399","445","483","774","703","883","971","639","364","125","11","1","4,944","4,944","437","440","544","603","714","871","619","414","254","46","2"
"경기도 평택시 오성면(4122034000)","3,713","3,713","198","308","442","393","548","808","536","324","130","26","0","3,352","3,352","188","264","357","298","385","633","508","408","278","30","3"
"경기도 평택시 현덕면(4122037000)","3,027","3,027","99","193","299","283","447","625","557","368","143","13","0","2,709","2,709","98","163","215","186","279","462","542","416","302","43","3"
"경기도 평택시 중앙동(4122051000)","23,058","23,058","1,920","3,000","3,843","3,116","4,186","3,978","1,806","881","292","31","5","22,624","22,624","1,815","2,880","3,121","2,806","4,343","3,780","1,913","1,237","639","83","7"
"경기도 평택시 서정동(4122052000)","14,257","14,257","935","1,499","2,250","1,996","2,466","2,625","1,403","783","262","31","7","14,035","14,035","895","1,371","1,912","1,635","2,372","2,603","1,587","1,076","507","68","9"
"경기도 평택시 송탄동(4122053500)","7,719","7,719","850","801","1,041","1,076","1,498","1,377","648","305","107","13","3","6,980","6,980","769","768","786","1,020","1,285","1,180","581","335","213","39","4"
"경기도 평택시 지산동(4122055000)","6,186","6,186","428","503","1,198","1,248","1,074","869","513","258","86","8","1","5,660","5,660","441","501","912","929","928","858","530","370","165","22","4"
"경기도 평택시 송북동(4122056000)","11,300","11,300","947","1,220","1,691","1,466","2,030","2,071","1,115","517","213","24","6","11,400","11,400","976","1,178","1,423","1,482","1,884","2,050","1,164","801","373","65","4"
"경기도 평택시 신장1동(4122057000)","3,215","3,215","299","270","438","568","570","502","318","164","72","9","5","3,375","3,375","301","221","401","506","493","521","443","327","130","28","4"
"경기도 평택시 신장2동(4122058000)","2,941","2,941","114","186","385","357","480","555","447","287","106","16","8","2,981","2,981","95","178","306","284","353","549","510","445","215","34","12"
"경기도 평택시 신평동(4122059000)","11,843","11,843","688","1,090","2,005","1,718","1,933","2,175","1,295","676","240","20","3","11,658","11,658","648","995","1,811","1,426","1,837","2,223","1,359","898","393","60","8"
"경기도 평택시 원평동(4122060000)","5,883","5,883","388","446","918","990","888","1,049","662","398","126","14","4","5,593","5,593","372","404","782","770","825","976","708","475","234","37","10"
"경기도 평택시 통복동(4122061000)","2,192","2,192","80","145","358","248","325","446","329","199","54","8","0","2,091","2,091","75","126","275","189","282","431","353","236","107","14","3"
"경기도 평택시 비전1동(4122062000)","33,865","33,865","4,541","4,038","4,536","6,539","6,546","4,545","1,960","852","282","24","2","32,953","32,953","4,228","3,871","4,212","6,279","6,265","4,344","2,009","1,109","541","88","7"
"경기도 평택시 비전2동(4122063000)","33,882","33,882","4,078","4,434","4,814","5,428","6,233","5,114","2,315","1,044","389","31","2","33,411","33,411","3,802","4,075","4,411","5,380","6,322","4,906","2,380","1,362","657","105","11"
"경기도 평택시 세교동(4122064000)","12,889","12,889","1,154","1,468","2,112","1,876","2,153","2,312","1,079","530","179","25","1","12,777","12,777","1,098","1,415","1,839","1,676","2,244","2,266","1,123","728","343","42","3"
"경기도 동두천시 (4125000000)","47,887","47,887","3,818","4,775","6,056","5,860","8,002","8,574","5,644","3,605","1,394","143","16","48,112","48,112","3,626","4,621","5,140","5,574","7,465","7,766","6,054","5,084","2,350","373","59"
"경기도 동두천시 생연1동(4125051000)","3,541","3,541","265","303","443","439","553","670","471","264","118","14","1","3,573","3,573","249","320","345","415","498","630","486","403","205","19","3"
"경기도 동두천시 생연2동(4125052000)","5,835","5,835","489","659","702","635","1,029","1,001","630","455","222","11","2","5,938","5,938","398","603","591","637","937","957","756","718","289","47","5"
"경기도 동두천시 중앙동(4125053500)","2,805","2,805","101","136","307","310","404","642","495","279","104","23","4","2,637","2,637","85","120","275","205","282","502","496","402","210","44","16"
"경기도 동두천시 보산동(4125055000)","1,535","1,535","85","106","222","159","212","317","240","145","43","6","0","1,664","1,664","88","110","137","175","197","311","275","236","118","15","2"
